n_samples,n_groups,max,distribution,simulation,distribution_truth,distribution_pred,varied,99_perc
60,20,0.2225,uniform,relative_difference_per_class,,,,0.16418333333333335
80,20,0.18,uniform,relative_difference_per_class,,,,0.13875625000000003
100,20,0.15699999999999997,uniform,relative_difference_per_class,,,,0.12301
120,20,0.15750000000000003,uniform,relative_difference_per_class,,,,0.1108375
140,20,0.14464285714285713,uniform,relative_difference_per_class,,,,0.10502142857142856
160,20,0.139375,uniform,relative_difference_per_class,,,,0.10031250000000003
180,20,0.11555555555555558,uniform,relative_difference_per_class,,,,0.09166944444444444
200,20,0.10399999999999998,uniform,relative_difference_per_class,,,,0.08775250000000005
220,20,0.1070454545454545,uniform,relative_difference_per_class,,,,0.08045454545454545
240,20,0.09541666666666665,uniform,relative_difference_per_class,,,,0.07814583333333332
260,20,0.0903846153846154,uniform,relative_difference_per_class,,,,0.0771173076923077
280,20,0.08803571428571427,uniform,relative_difference_per_class,,,,0.07268571428571427
300,20,0.09366666666666668,uniform,relative_difference_per_class,,,,0.07034166666666669
400,20,0.081875,uniform,relative_difference_per_class,,,,0.06312625000000001
600,20,0.07541666666666666,uniform,relative_difference_per_class,,,,0.05341833333333333
800,20,0.056499999999999995,uniform,relative_difference_per_class,,,,0.04463125000000002
1000,20,0.05165,uniform,relative_difference_per_class,,,,0.04035449999999997
20,30,0.4033333333333333,uniform,relative_difference_per_class,,,,0.2867
40,30,0.2975,uniform,relative_difference_per_class,,,,0.20502499999999999
60,30,0.22166666666666668,uniform,relative_difference_per_class,,,,0.16335
80,30,0.17958333333333332,uniform,relative_difference_per_class,,,,0.14083333333333334
100,30,0.1613333333333333,uniform,relative_difference_per_class,,,,0.12535
120,30,0.16000000000000003,uniform,relative_difference_per_class,,,,0.11055833333333331
140,30,0.14809523809523809,uniform,relative_difference_per_class,,,,0.10524047619047619
160,30,0.14270833333333335,uniform,relative_difference_per_class,,,,0.10521458333333335
180,30,0.12092592592592594,uniform,relative_difference_per_class,,,,0.09556111111111111
200,30,0.11016666666666666,uniform,relative_difference_per_class,,,,0.08850333333333332
220,30,0.10939393939393938,uniform,relative_difference_per_class,,,,0.0809181818181818
240,30,0.09694444444444444,uniform,relative_difference_per_class,,,,0.07916805555555557
260,30,0.09243589743589745,uniform,relative_difference_per_class,,,,0.07694102564102563
280,30,0.08928571428571427,uniform,relative_difference_per_class,,,,0.0746452380952381
300,30,0.09277777777777779,uniform,relative_difference_per_class,,,,0.07211555555555557
400,30,0.08466666666666667,uniform,relative_difference_per_class,,,,0.06433916666666668
600,30,0.0761111111111111,uniform,relative_difference_per_class,,,,0.05401999999999997
800,30,0.05691666666666667,uniform,relative_difference_per_class,,,,0.045250416666666654
1000,30,0.05396666666666666,uniform,relative_difference_per_class,,,,0.040867666666666635
20,2,0.25,sparse,relative_difference_per_class,,,,0.20000000000000007
40,2,0.17499999999999993,sparse,relative_difference_per_class,,,,0.13750000000000007
60,2,0.16666666666666663,sparse,relative_difference_per_class,,,,0.10833333333333334
80,2,0.11875000000000002,sparse,relative_difference_per_class,,,,0.09999999999999998
100,2,0.10999999999999999,sparse,relative_difference_per_class,,,,0.08999999999999997
120,2,0.11250000000000004,sparse,relative_difference_per_class,,,,0.07916666666666672
140,2,0.08571428571428574,sparse,relative_difference_per_class,,,,0.07500000000000001
160,2,0.10312500000000002,sparse,relative_difference_per_class,,,,0.07187500000000002
180,2,0.08611111111111111,sparse,relative_difference_per_class,,,,0.06944444444444448
200,2,0.07750000000000001,sparse,relative_difference_per_class,,,,0.065
220,2,0.08636363636363639,sparse,relative_difference_per_class,,,,0.06136363636363634
240,2,0.07291666666666663,sparse,relative_difference_per_class,,,,0.06043750000000002
260,2,0.07307692307692315,sparse,relative_difference_per_class,,,,0.0576923076923076
280,2,0.06607142857142856,sparse,relative_difference_per_class,,,,0.057142857142857106
300,2,0.07166666666666666,sparse,relative_difference_per_class,,,,0.05333333333333323
400,2,0.06374999999999997,sparse,relative_difference_per_class,,,,0.04625000000000001
600,2,0.04749999999999999,sparse,relative_difference_per_class,,,,0.03833333333333333
800,2,0.044375,sparse,relative_difference_per_class,,,,0.03312499999999996
1000,2,0.040500000000000036,sparse,relative_difference_per_class,,,,0.029000000000000026
20,3,0.26666666666666666,sparse,relative_difference_per_class,,,,0.2333333333333334
40,3,0.22500000000000003,sparse,relative_difference_per_class,,,,0.15841666666666662
60,3,0.1611111111111111,sparse,relative_difference_per_class,,,,0.1333333333333333
80,3,0.13750000000000007,sparse,relative_difference_per_class,,,,0.1166666666666667
100,3,0.1466666666666666,sparse,relative_difference_per_class,,,,0.10669999999999999
120,3,0.1222222222222222,sparse,relative_difference_per_class,,,,0.09444444444444444
140,3,0.12857142857142856,sparse,relative_difference_per_class,,,,0.08573809523809524
160,3,0.125,sparse,relative_difference_per_class,,,,0.08335416666666669
180,3,0.10185185185185186,sparse,relative_difference_per_class,,,,0.0796296296296296
200,3,0.08666666666666664,sparse,relative_difference_per_class,,,,0.0733333333333333
220,3,0.08939393939393939,sparse,relative_difference_per_class,,,,0.06669696969696966
240,3,0.09166666666666667,sparse,relative_difference_per_class,,,,0.07223611111111107
260,3,0.08717948717948715,sparse,relative_difference_per_class,,,,0.06667948717948716
280,3,0.08333333333333337,sparse,relative_difference_per_class,,,,0.05953571428571428
300,3,0.0855555555555555,sparse,relative_difference_per_class,,,,0.061111111111111005
400,3,0.0675,sparse,relative_difference_per_class,,,,0.05419166666666667
600,3,0.06277777777777777,sparse,relative_difference_per_class,,,,0.04500555555555559
800,3,0.05375000000000002,sparse,relative_difference_per_class,,,,0.03709583333333335
